"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"1B","Ryan Zimmerman",4200,"Was@Bal 07:05PM ET",7.159,"Was"
"OF","Brett Gardner",4200,"NYY@Sea 10:10PM ET",6.946,"NYY"
"1B","Chris Carter",4200,"Col@Mil 07:20PM ET",7.645,"Mil"
"OF","Tyler Naquin",4200,"Cle@Oak 10:05PM ET",7.070,"Cle"
"SS","Brad Miller",4200,"Bos@TB 07:10PM ET",7.991,"TB"
"OF","Yasmany Tomas",4200,"Atl@Ari 09:40PM ET",7.849,"Ari"
"SS","Xander Bogaerts",4100,"Bos@TB 07:10PM ET",9.076,"Bos"
"C","Brian McCann",4000,"NYY@Sea 10:10PM ET",6.714,"NYY"
"2B","Dustin Pedroia",4000,"Bos@TB 07:10PM ET",8.261,"Bos"
"OF","Mitch Haniger",4000,"Atl@Ari 09:40PM ET",8.333,"Ari"
"C/OF","Willson Contreras",4000,"ChC@SD 10:10PM ET",6.943,"ChC"
"OF","Aaron Judge",4000,"NYY@Sea 10:10PM ET",9.143,"NYY"
"2B/3B","Javier Baez",4000,"ChC@SD 10:10PM ET",6.019,"ChC"
"OF","Matt Kemp",3900,"Atl@Ari 09:40PM ET",7.817,"Atl"
"3B","Chase Headley",3900,"NYY@Sea 10:10PM ET",5.973,"NYY"
"OF","Jacoby Ellsbury",3900,"NYY@Sea 10:10PM ET",6.876,"NYY"
"C","Tyler Flowers",3900,"Atl@Ari 09:40PM ET",6.000,"Atl"
"2B/3B","Yangervis Solarte",3900,"ChC@SD 10:10PM ET",7.975,"SD"
"OF/SS","Sean Rodriguez",3800,"Hou@Pit 07:05PM ET",4.644,"Pit"
"OF","Matt Joyce",3800,"Hou@Pit 07:05PM ET",4.615,"Pit"
"OF","Norichika Aoki",3800,"NYY@Sea 10:10PM ET",5.925,"Sea"
"OF","Matt Szczur",3800,"ChC@SD 10:10PM ET",3.774,"ChC"
"C","Chris Herrmann",3800,"Atl@Ari 09:40PM ET",6.278,"Ari"
"OF/SS","Chris Owings",3800,"Atl@Ari 09:40PM ET",6.605,"Ari"
"2B","Jonathan Schoop",3800,"Was@Bal 07:05PM ET",7.341,"Bal"
"3B","Alex Bregman",3800,"Hou@Pit 07:05PM ET",7.160,"Hou"
"1B/3B","David Freese",3700,"Hou@Pit 07:05PM ET",6.579,"Pit"
"OF","Ben Revere",3700,"Was@Bal 07:05PM ET",5.827,"Was"
"OF","Brandon Guyer",3700,"Cle@Oak 10:05PM ET",6.342,"Cle"
"2B","Josh Harrison",3700,"Hou@Pit 07:05PM ET",6.579,"Pit"
"2B","Starlin Castro",3700,"NYY@Sea 10:10PM ET",6.488,"NYY"
"2B","Scooter Gennett",3700,"Col@Mil 07:20PM ET",6.757,"Mil"
"1B","Christian Walker",3700,"Was@Bal 07:05PM ET",0,"Bal"
"OF","Jackie Bradley Jr.",3700,"Bos@TB 07:10PM ET",8.678,"Bos"
"2B/OF","Jace Peterson",3700,"Atl@Ari 09:40PM ET",5.627,"Atl"
"3B","Adonis Garcia",3700,"Atl@Ari 09:40PM ET",6.194,"Atl"
"3B","Luis Valbuena",3600,"Hou@Pit 07:05PM ET",6.767,"Hou"
"2B/SS","Stephen Drew",3600,"Was@Bal 07:05PM ET",4.569,"Was"
"3B","Brandon Snyder",3600,"Atl@Ari 09:40PM ET",2.792,"Atl"
"C","Welington Castillo",3600,"Atl@Ari 09:40PM ET",6.826,"Ari"
"OF","David Peralta",3600,"Atl@Ari 09:40PM ET",6.286,"Ari"
"C","Jason Castro",3600,"Hou@Pit 07:05PM ET",5.697,"Hou"
"OF","Leonys Martin",3600,"NYY@Sea 10:10PM ET",6.972,"Sea"
"OF","Hyun Soo Kim",3600,"Was@Bal 07:05PM ET",6.364,"Bal"
"2B","Ryan Schimpf",3600,"ChC@SD 10:10PM ET",8.091,"SD"
"OF","Domingo Santana",3600,"Col@Mil 07:20PM ET",5.600,"Mil"
"2B/3B","Tommy La Stella",3600,"ChC@SD 10:10PM ET",4.039,"ChC"
"OF","Chris Young",3500,"Bos@TB 07:10PM ET",5.625,"Bos"
"OF","Khris Davis",3500,"Cle@Oak 10:05PM ET",8.129,"Oak"
"C","Matt Wieters",3500,"Was@Bal 07:05PM ET",5.857,"Bal"
"1B","Clint Robinson",3500,"Was@Bal 07:05PM ET",3.241,"Was"
"OF","Kirk Nieuwenhuis",3500,"Col@Mil 07:20PM ET",5.358,"Mil"
"1B","Wil Myers",3500,"ChC@SD 10:10PM ET",9.174,"SD"
"3B/OF","Brandon Drury",3500,"Atl@Ari 09:40PM ET",5.530,"Ari"
"1B","Mark Teixeira",3400,"NYY@Sea 10:10PM ET",5.517,"NYY"
"C","Francisco Cervelli",3400,"Hou@Pit 07:05PM ET",6.000,"Pit"
"OF","Abraham Almonte",3400,"Cle@Oak 10:05PM ET",5.333,"Cle"
"C","Evan Gattis",3400,"Hou@Pit 07:05PM ET",6.926,"Hou"
"OF","Peter O'Brien",3400,"Atl@Ari 09:40PM ET",3.857,"Ari"
"SS","Dansby Swanson",3400,"Atl@Ari 09:40PM ET",5.000,"Atl"
"OF","Franklin Gutierrez",3300,"NYY@Sea 10:10PM ET",5.101,"Sea"
"C","Miguel Montero",3300,"ChC@SD 10:10PM ET",5.030,"ChC"
"OF","Jeff Francoeur",3300,"Atl@Ari 09:40PM ET",4.418,"Atl"
"2B","Emilio Bonifacio",3300,"Atl@Ari 09:40PM ET",1.867,"Atl"
"C","Nick Hundley",3300,"Col@Mil 07:20PM ET",6.061,"Col"
"OF","Jon Jay",3300,"ChC@SD 10:10PM ET",6.882,"SD"
"OF","Chris Heisey",3300,"Was@Bal 07:05PM ET",3.343,"Was"
"1B/SS","Daniel Descalso",3300,"Col@Mil 07:20PM ET",4.956,"Col"
"C","Sandy Leon",3300,"Bos@TB 07:10PM ET",8.370,"Bos"
"1B","Ike Davis",3300,"NYY@Sea 10:10PM ET",2.125,"NYY"
"1B/OF","Tyler Moore",3300,"Was@Bal 07:05PM ET",0,"Was"
"C","Tony Wolters",3300,"Col@Mil 07:20PM ET",6.364,"Col"
"SS","Orlando Arcia",3300,"Col@Mil 07:20PM ET",4.833,"Mil"
"OF","Albert Almora Jr.",3300,"ChC@SD 10:10PM ET",3.941,"ChC"
"2B/OF","Adam Frazier",3300,"Hou@Pit 07:05PM ET",4.457,"Pit"
"C","David Ross",3200,"ChC@SD 10:10PM ET",5.717,"ChC"
"SS","J.J. Hardy",3200,"Was@Bal 07:05PM ET",6.158,"Bal"
"1B/2B","Steve Pearce",3200,"Was@Bal 07:05PM ET",6.971,"Bal"
"1B/OF","Chris Parmelee",3200,"NYY@Sea 10:10PM ET",7.333,"NYY"
"OF","Aaron Hicks",3200,"NYY@Sea 10:10PM ET",3.692,"NYY"
"OF","L.J. Hoes",3200,"Was@Bal 07:05PM ET",0,"Bal"
"SS","Danny Espinosa",3200,"Was@Bal 07:05PM ET",6.597,"Was"
"OF","Kevin Kiermaier",3200,"Bos@TB 07:10PM ET",6.899,"TB"
"OF","Travis Jankowski",3200,"ChC@SD 10:10PM ET",5.408,"SD"
"1B","A.J. Reed",3200,"Hou@Pit 07:05PM ET",4.531,"Hou"
"1B/OF","Rob Refsnyder",3200,"NYY@Sea 10:10PM ET",4.867,"NYY"
"OF","Dariel Alvarez",3200,"Was@Bal 07:05PM ET",3.500,"Bal"
"OF","Marlon Byrd",3100,"Cle@Oak 10:05PM ET",6.529,"Cle"
"1B","Adam Lind",3100,"NYY@Sea 10:10PM ET",5.860,"Sea"
"OF","Gerardo Parra",3100,"Col@Mil 07:20PM ET",6.403,"Col"
"C","Francisco Pena",3100,"Was@Bal 07:05PM ET",4.636,"Bal"
"2B/3B","Gordon Beckham",3100,"Atl@Ari 09:40PM ET",4.953,"Atl"
"3B/SS","Chase d'Arnaud",3100,"Atl@Ari 09:40PM ET",5.181,"Atl"
"1B/OF","Nick Franklin",3100,"Bos@TB 07:10PM ET",7.382,"TB"
"2B","Phil Gosselin",3100,"Atl@Ari 09:40PM ET",3.170,"Ari"
"1B","Jason Rogers",3100,"Hou@Pit 07:05PM ET",2.600,"Pit"
"OF","Michael Reed",3100,"Col@Mil 07:20PM ET",0,"Mil"
"C","A.J. Pierzynski",3000,"Atl@Ari 09:40PM ET",3.986,"Atl"
"2B","Omar Infante",3000,"Atl@Ari 09:40PM ET",4.897,"Atl"
"1B","John Jaso",3000,"Hou@Pit 07:05PM ET",5.206,"Pit"
"OF","Seth Smith",3000,"NYY@Sea 10:10PM ET",5.856,"Sea"
"OF","Nolan Reimold",3000,"Was@Bal 07:05PM ET",3.482,"Bal"
"C","Anthony Recker",3000,"Atl@Ari 09:40PM ET",5.600,"Atl"
"2B/OF","Chris Coghlan",3000,"ChC@SD 10:10PM ET",4.077,"ChC"
"OF/SS","Shawn O'Malley",3000,"NYY@Sea 10:10PM ET",4.227,"Sea"
"3B","Danny Valencia",3000,"Cle@Oak 10:05PM ET",7.361,"Oak"
"2B/SS","Tim Beckham",3000,"Bos@TB 07:10PM ET",5.328,"TB"
"OF","Joey Butler",3000,"Cle@Oak 10:05PM ET",0,"Cle"
