"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","Yan Gomes",2200,"Cle@Oak 10:05PM ET",4.704,"Cle"
"3B","Deven Marrero",2200,"Bos@TB 07:10PM ET",0.500,"Bos"
"C","Hector Sanchez",2200,"ChC@SD 10:10PM ET",2.813,"SD"
"2B/OF","Max Muncy",2200,"Cle@Oak 10:05PM ET",3.484,"Oak"
"C","Luke Maile",2200,"Bos@TB 07:10PM ET",4.318,"TB"
"2B","Arismendy Alcantara",2200,"Cle@Oak 10:05PM ET",3.800,"Oak"
"2B","Taylor Lindsey",2200,"ChC@SD 10:10PM ET",0,"SD"
"2B","Ryan Brett",2200,"Bos@TB 07:10PM ET",0,"TB"
"C","Justin O'Conner",2200,"Bos@TB 07:10PM ET",0,"TB"
"OF","Hunter Renfroe",2200,"ChC@SD 10:10PM ET",0,"SD"
"SS","Jose Rondon",2200,"ChC@SD 10:10PM ET",1.875,"SD"
"C","Austin Hedges",2200,"ChC@SD 10:10PM ET",0,"SD"
"3B","Ryon Healy",2200,"Cle@Oak 10:05PM ET",6.147,"Oak"
"3B","Patrick Kivlehan",2200,"ChC@SD 10:10PM ET",17.500,"SD"
"SS","Carlos Asuaje",2200,"ChC@SD 10:10PM ET",0,"SD"
"SS","Willy Adames",2200,"Bos@TB 07:10PM ET",0,"TB"
"SS","Javier Guerra",2200,"ChC@SD 10:10PM ET",0,"SD"
"2B","Jed Lowrie",2100,"Cle@Oak 10:05PM ET",5.494,"Oak"
"C","Matt McBride",2100,"Cle@Oak 10:05PM ET",3.133,"Oak"
"OF","Andrew Lambo",2100,"Cle@Oak 10:05PM ET",0.000,"Oak"
