"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Stephen Strasburg",12900,"Was@Ari 09:40PM ET",25.023,"Was"
"SP","Archie Bradley",8000,"Was@Ari 09:40PM ET",15.121,"Ari"
"SP","Jimmy Nelson",7800,"Mil@SD 10:10PM ET",13.545,"Mil"
"SP","James Paxton",6300,"Bos@Sea 10:10PM ET",14.509,"Sea"
"SP","Eduardo Rodriguez",6200,"Bos@Sea 10:10PM ET",8.017,"Bos"
"SP","Jarred Cosart",4900,"Mil@SD 10:10PM ET",4.813,"SD"
"RP","Jorge Lopez",8200,"Mil@SD 10:10PM ET",0,"Mil"
"RP","A.J. Cole",7300,"Was@Ari 09:40PM ET",0,"Was"
"RP","Tyler Wagner",6200,"Was@Ari 09:40PM ET",9.967,"Ari"
"2B","Daniel Murphy",5400,"Was@Ari 09:40PM ET",9.610,"Was"
"SS","Xander Bogaerts",5400,"Bos@Sea 10:10PM ET",9.950,"Bos"
"OF","Mookie Betts",5200,"Bos@Sea 10:10PM ET",10.683,"Bos"
"1B","David Ortiz",5000,"Bos@Sea 10:10PM ET",10.135,"Bos"
"OF","Nelson Cruz",5000,"Bos@Sea 10:10PM ET",8.930,"Sea"
"OF","Ryan Braun",4900,"Mil@SD 10:10PM ET",8.773,"Mil"
"SS","Jonathan Villar",4900,"Mil@SD 10:10PM ET",9.303,"Mil"
"OF","Bryce Harper",4700,"Was@Ari 09:40PM ET",8.584,"Was"
"1B","Hanley Ramirez",4600,"Bos@Sea 10:10PM ET",8.113,"Bos"
"RP","Nick Hagadone",4600,"Mil@SD 10:10PM ET",0,"Mil"
"C","Jonathan Lucroy",4600,"Mil@SD 10:10PM ET",7.705,"Mil"
"RP","Yhonathan Barrios",4600,"Mil@SD 10:10PM ET",0,"Mil"
"RP","Adrian Houser",4600,"Mil@SD 10:10PM ET",0,"Mil"
"1B","Paul Goldschmidt",4500,"Was@Ari 09:40PM ET",9.621,"Ari"
"2B","Dustin Pedroia",4400,"Bos@Sea 10:10PM ET",8.545,"Bos"
"RP","Anthony Varvaro",4400,"Bos@Sea 10:10PM ET",0,"Bos"
"RP","Carson Smith",4400,"Bos@Sea 10:10PM ET",2.733,"Bos"
"C","Wilson Ramos",4300,"Was@Ari 09:40PM ET",8.022,"Was"
"1B","Wil Myers",4300,"Mil@SD 10:10PM ET",9.369,"SD"
"RP","Buddy Baumann",4300,"Mil@SD 10:10PM ET",2.083,"SD"
"RP","Leonel Campos",4300,"Mil@SD 10:10PM ET",3.040,"SD"
"RP","Carter Capps",4300,"Mil@SD 10:10PM ET",0,"SD"
"2B","Robinson Cano",4200,"Bos@Sea 10:10PM ET",9.058,"Sea"
"2B/SS","Jean Segura",4200,"Was@Ari 09:40PM ET",8.850,"Ari"
"RP","Joe Beimel",4000,"Bos@Sea 10:10PM ET",0,"Sea"
"RP","Oliver Perez",4000,"Was@Ari 09:40PM ET",2.037,"Was"
"RP","Chris Capuano",4000,"Mil@SD 10:10PM ET",4.163,"Mil"
"RP","Adam Loewen",4000,"Was@Ari 09:40PM ET",1.050,"Ari"
"RP","Blaine Boyer",4000,"Mil@SD 10:10PM ET",1.712,"Mil"
"RP","Carlos Villanueva",4000,"Mil@SD 10:10PM ET",2.621,"SD"
"RP","Tom Wilhelmsen",4000,"Bos@Sea 10:10PM ET",0.700,"Sea"
"RP","Matt Belisle",4000,"Was@Ari 09:40PM ET",3.121,"Was"
"RP","Jonathan Papelbon",4000,"Was@Ari 09:40PM ET",2.306,"Was"
"RP","Brad Ziegler",4000,"Bos@Sea 10:10PM ET",2.622,"Bos"
"RP","Matt Thornton",4000,"Mil@SD 10:10PM ET",1.129,"SD"
"RP","Aaron Laffey",4000,"Was@Ari 09:40PM ET",0,"Was"
"RP","Carlos Torres",4000,"Mil@SD 10:10PM ET",3.423,"Mil"
"RP","Jeremy Jeffress",4000,"Mil@SD 10:10PM ET",2.564,"Mil"
"RP","Ryan Buchter",4000,"Mil@SD 10:10PM ET",3.510,"SD"
"RP","Mark Melancon",4000,"Was@Ari 09:40PM ET",3.003,"Was"
"RP","Daniel McCutchen",4000,"Mil@SD 10:10PM ET",0,"SD"
"RP","Jon Edwards",4000,"Mil@SD 10:10PM ET",0,"SD"
"RP","Matt Buschmann",4000,"Was@Ari 09:40PM ET",3.983,"Ari"
"RP","Justin De Fratus",4000,"Bos@Sea 10:10PM ET",0,"Sea"
"RP","Shawn Kelley",4000,"Was@Ari 09:40PM ET",3.656,"Was"
"RP","Steve Cishek",4000,"Bos@Sea 10:10PM ET",3.985,"Sea"
"RP","Charlie Furbush",4000,"Bos@Sea 10:10PM ET",0,"Sea"
"RP","Michael Blazek",4000,"Mil@SD 10:10PM ET",1.985,"Mil"
"RP","Sammy Solis",4000,"Was@Ari 09:40PM ET",4.014,"Was"
"RP","Taylor Jordan",4000,"Was@Ari 09:40PM ET",0,"Was"
"RP","Tommy Layne",4000,"Bos@Sea 10:10PM ET",1.921,"Bos"
"RP","Evan Scribner",4000,"Bos@Sea 10:10PM ET",0,"Sea"
"RP","Jhan Marinez",4000,"Mil@SD 10:10PM ET",4.367,"Mil"
"RP","Jose Dominguez",4000,"Mil@SD 10:10PM ET",2.713,"SD"
"RP","Brad Hand",4000,"Mil@SD 10:10PM ET",3.665,"SD"
"RP","Robbie Ross Jr.",4000,"Bos@Sea 10:10PM ET",3.273,"Bos"
"RP","Craig Kimbrel",4000,"Bos@Sea 10:10PM ET",3.807,"Bos"
"RP","Daniel Hudson",4000,"Was@Ari 09:40PM ET",1.426,"Ari"
"RP","Nick Vincent",4000,"Bos@Sea 10:10PM ET",3.496,"Sea"
"RP","Ryan Cook",4000,"Bos@Sea 10:10PM ET",0,"Sea"
"RP","Will Smith",4000,"Mil@SD 10:10PM ET",2.322,"Mil"
"RP","David Rollins",4000,"Bos@Sea 10:10PM ET",1.228,"Sea"
"RP","Aaron Barrett",4000,"Was@Ari 09:40PM ET",0,"Was"
"RP","Brandon Maurer",4000,"Mil@SD 10:10PM ET",2.826,"SD"
"3B","Anthony Rendon",4000,"Was@Ari 09:40PM ET",7.881,"Was"
"RP","Randall Delgado",4000,"Was@Ari 09:40PM ET",2.729,"Ari"
"RP","Koji Uehara",4000,"Bos@Sea 10:10PM ET",3.390,"Bos"
"RP","Junichi Tazawa",4000,"Bos@Sea 10:10PM ET",2.950,"Bos"
"RP","Drew Storen",4000,"Bos@Sea 10:10PM ET",1.461,"Sea"
"RP","Jake Barrett",4000,"Was@Ari 09:40PM ET",2.614,"Ari"
"RP","Brian Moran",4000,"Bos@Sea 10:10PM ET",0,"Sea"
"2B","Scooter Gennett",4000,"Mil@SD 10:10PM ET",6.964,"Mil"
"RP","Pat Light",4000,"Bos@Sea 10:10PM ET",-4.700,"Bos"
"3B","Jake Lamb",4000,"Was@Ari 09:40PM ET",8.704,"Ari"
"RP","Enrique Burgos",4000,"Was@Ari 09:40PM ET",2.178,"Ari"
"RP","Mayckol Guaipe",4000,"Bos@Sea 10:10PM ET",2.260,"Sea"
"RP","Frank Garces",4000,"Mil@SD 10:10PM ET",0,"SD"
"RP","Rafael Martin",4000,"Was@Ari 09:40PM ET",4.250,"Was"
"RP","Matt Barnes",4000,"Bos@Sea 10:10PM ET",3.688,"Bos"
"RP","David Goforth",4000,"Mil@SD 10:10PM ET",0.979,"Mil"
"RP","Tyler Thornburg",4000,"Mil@SD 10:10PM ET",4.141,"Mil"
"RP","Zach Lee",4000,"Bos@Sea 10:10PM ET",0,"Sea"
"RP","Donn Roach",4000,"Bos@Sea 10:10PM ET",0.900,"Sea"
"RP","Heath Hembree",4000,"Bos@Sea 10:10PM ET",4.407,"Bos"
"RP","Cody Martin",4000,"Bos@Sea 10:10PM ET",6.683,"Sea"
"RP","Blake Treinen",4000,"Was@Ari 09:40PM ET",2.803,"Was"
"RP","Keith Hessler",4000,"Mil@SD 10:10PM ET",-1.080,"SD"
"RP","Matt Stites",4000,"Was@Ari 09:40PM ET",0,"Ari"
"RP","Tony Zych",4000,"Bos@Sea 10:10PM ET",5.140,"Sea"
"RP","Jacob Barnes",4000,"Mil@SD 10:10PM ET",2.978,"Mil"
"RP","Andrew Chafin",4000,"Was@Ari 09:40PM ET",1.644,"Ari"
"RP","Evan Marshall",4000,"Was@Ari 09:40PM ET",0.331,"Ari"
"RP","Noe Ramirez",4000,"Bos@Sea 10:10PM ET",1.541,"Bos"
"RP","Kevin Quackenbush",4000,"Mil@SD 10:10PM ET",2.523,"SD"
"RP","Jonathan Aro",4000,"Bos@Sea 10:10PM ET",0.300,"Sea"
"RP","Dominic Leone",4000,"Was@Ari 09:40PM ET",0.750,"Ari"
"RP","Trevor Gott",4000,"Was@Ari 09:40PM ET",0,"Was"
"RP","Steve Hathaway",4000,"Was@Ari 09:40PM ET",-5.050,"Ari"
"RP","Silvino Bracho",4000,"Was@Ari 09:40PM ET",1.040,"Ari"
"RP","Edwin Diaz",4000,"Bos@Sea 10:10PM ET",5.160,"Sea"
"RP","Corey Knebel",4000,"Mil@SD 10:10PM ET",3.140,"Mil"
"RP","Zac Curtis",4000,"Was@Ari 09:40PM ET",0.600,"Ari"
"3B/OF","Hernan Perez",3900,"Mil@SD 10:10PM ET",6.731,"Mil"
"OF","Seth Smith",3800,"Bos@Sea 10:10PM ET",6.379,"Sea"
"OF","Kirk Nieuwenhuis",3800,"Mil@SD 10:10PM ET",5.484,"Mil"
"OF","Leonys Martin",3800,"Bos@Sea 10:10PM ET",7.233,"Sea"
"3B","Kyle Seager",3800,"Bos@Sea 10:10PM ET",8.696,"Sea"
"OF","Michael A. Taylor",3800,"Was@Ari 09:40PM ET",5.742,"Was"
"OF","Jackie Bradley Jr.",3800,"Bos@Sea 10:10PM ET",9.010,"Bos"
"OF","Franklin Gutierrez",3600,"Bos@Sea 10:10PM ET",5.343,"Sea"
"2B","Ryan Schimpf",3600,"Mil@SD 10:10PM ET",7.649,"SD"
"2B/OF","Trea Turner",3600,"Was@Ari 09:40PM ET",9.313,"Was"
"OF","Chris Young",3500,"Bos@Sea 10:10PM ET",5.625,"Bos"
"1B","Ryan Zimmerman",3500,"Was@Ari 09:40PM ET",6.950,"Was"
"2B/3B","Yangervis Solarte",3500,"Mil@SD 10:10PM ET",8.033,"SD"
"OF","Keon Broxton",3500,"Mil@SD 10:10PM ET",4.829,"Mil"
"OF","Travis Jankowski",3500,"Mil@SD 10:10PM ET",4.342,"SD"
"OF","Jayson Werth",3400,"Was@Ari 09:40PM ET",7.337,"Was"
"OF","Domingo Santana",3400,"Mil@SD 10:10PM ET",5.628,"Mil"
"OF","Yasmany Tomas",3400,"Was@Ari 09:40PM ET",7.400,"Ari"
"1B","Adam Lind",3300,"Bos@Sea 10:10PM ET",5.841,"Sea"
"1B","Chris Carter",3300,"Mil@SD 10:10PM ET",7.455,"Mil"
"2B","Cory Spangenberg",3300,"Mil@SD 10:10PM ET",6.429,"SD"
"OF","Rickie Weeks Jr.",3200,"Was@Ari 09:40PM ET",3.250,"Ari"
"OF","Jon Jay",3200,"Mil@SD 10:10PM ET",6.882,"SD"
"OF","David Peralta",3200,"Was@Ari 09:40PM ET",6.591,"Ari"
"OF","Ben Revere",3200,"Was@Ari 09:40PM ET",6.045,"Was"
"OF","Alex Dickerson",3200,"Mil@SD 10:10PM ET",6.531,"SD"
"SS","Orlando Arcia",3200,"Mil@SD 10:10PM ET",0,"Mil"
"2B/SS","Stephen Drew",3100,"Was@Ari 09:40PM ET",4.569,"Was"
"OF","Michael Bourn",3000,"Was@Ari 09:40PM ET",6.175,"Ari"
"1B","Dae-Ho Lee",3000,"Bos@Sea 10:10PM ET",5.632,"Sea"
"1B","Clint Robinson",3000,"Was@Ari 09:40PM ET",3.094,"Was"
"C","Chris Herrmann",3000,"Was@Ari 09:40PM ET",6.278,"Ari"
"1B/3B","Travis Shaw",3000,"Bos@Sea 10:10PM ET",7.276,"Bos"
"OF","Michael Reed",3000,"Mil@SD 10:10PM ET",0,"Mil"
"OF","Norichika Aoki",2900,"Bos@Sea 10:10PM ET",5.920,"Sea"
"1B/3B","Brett Wallace",2900,"Mil@SD 10:10PM ET",3.690,"SD"
"SS","Danny Espinosa",2900,"Was@Ari 09:40PM ET",6.874,"Was"
"OF","Brock Holt",2900,"Bos@Sea 10:10PM ET",6.473,"Bos"
"C","Christian Bethancourt",2900,"Mil@SD 10:10PM ET",4.250,"SD"
"SS","Ketel Marte",2900,"Bos@Sea 10:10PM ET",6.080,"Sea"
"OF","Rusney Castillo",2900,"Bos@Sea 10:10PM ET",1.778,"Bos"
"3B","Hector Olivera",2900,"Mil@SD 10:10PM ET",4.000,"SD"
"2B/3B","Adam Rosales",2800,"Mil@SD 10:10PM ET",4.559,"SD"
"OF","Chris Heisey",2800,"Was@Ari 09:40PM ET",2.818,"Was"
"1B/OF","Tyler Moore",2800,"Was@Ari 09:40PM ET",0,"Was"
"C","Rob Brantly",2800,"Bos@Sea 10:10PM ET",0,"Sea"
"3B/OF","Brandon Drury",2800,"Was@Ari 09:40PM ET",5.774,"Ari"
"OF","Peter O'Brien",2800,"Was@Ari 09:40PM ET",3.857,"Ari"
"2B/3B","Aaron Hill",2700,"Bos@Sea 10:10PM ET",6.079,"Bos"
"C","Martin Maldonado",2700,"Mil@SD 10:10PM ET",4.200,"Mil"
"C","Chris Iannetta",2700,"Bos@Sea 10:10PM ET",5.013,"Sea"
"OF/SS","Shawn O'Malley",2700,"Bos@Sea 10:10PM ET",3.700,"Sea"
"C","Welington Castillo",2700,"Was@Ari 09:40PM ET",6.645,"Ari"
"C","Mike Zunino",2700,"Bos@Sea 10:10PM ET",8.222,"Sea"
"OF","Ramon Flores",2700,"Mil@SD 10:10PM ET",3.380,"Mil"
"3B","Will Middlebrooks",2600,"Mil@SD 10:10PM ET",2.300,"Mil"
"1B/3B","Andy Wilkins",2600,"Mil@SD 10:10PM ET",1.667,"Mil"
"C","Sandy Leon",2600,"Bos@Sea 10:10PM ET",7.667,"Bos"
"1B/3B","Jake Elmore",2600,"Mil@SD 10:10PM ET",2.458,"Mil"
"OF","Rymer Liriano",2600,"Mil@SD 10:10PM ET",0,"Mil"
"OF","Stefen Romero",2600,"Bos@Sea 10:10PM ET",2.125,"Sea"
"2B/3B","Josh Rutledge",2600,"Bos@Sea 10:10PM ET",3.464,"Bos"
"2B/3B","Marco Hernandez",2600,"Bos@Sea 10:10PM ET",3.000,"Bos"
"OF","Manuel Margot",2600,"Mil@SD 10:10PM ET",0,"SD"
"OF","Boog Powell",2600,"Bos@Sea 10:10PM ET",0,"Sea"
"OF","Nate McLouth",2500,"Was@Ari 09:40PM ET",0,"Was"
"C","Jose Lobaton",2500,"Was@Ari 09:40PM ET",4.444,"Was"
"OF","Mike Baxter",2500,"Bos@Sea 10:10PM ET",0,"Sea"
"C","Steve Clevenger",2500,"Bos@Sea 10:10PM ET",4.636,"Sea"
"C","Jesus Sucre",2500,"Bos@Sea 10:10PM ET",2.333,"Sea"
"OF","Bryce Brentz",2500,"Bos@Sea 10:10PM ET",4.737,"Bos"
"OF","Daniel Robertson",2500,"Bos@Sea 10:10PM ET",2.556,"Sea"
"2B/SS","Alexi Amarista",2500,"Mil@SD 10:10PM ET",3.604,"SD"
"OF","Matt den Dekker",2500,"Was@Ari 09:40PM ET",2.947,"Was"
