"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SP","Zach Davies",9900,"Mil@SD 10:10PM ET",15.456,"Mil"
"SP","David Price",9600,"Bos@Sea 10:10PM ET",18.861,"Bos"
"SP","Tanner Roark",8800,"Was@Ari 09:40PM ET",17.450,"Was"
"SP","Matt Shoemaker",8500,"Oak@LAA 10:05PM ET",16.140,"LAA"
"SP","Luis Perdomo",4700,"Mil@SD 10:10PM ET",4.517,"SD"
"RP","Jorge Lopez",8300,"Mil@SD 10:10PM ET",0,"Mil"
"RP","A.J. Cole",7300,"Was@Ari 09:40PM ET",0,"Was"
"RP","Tyler Wagner",6300,"Was@Ari 09:40PM ET",9.967,"Ari"
"SS","Xander Bogaerts",5500,"Bos@Sea 10:10PM ET",9.853,"Bos"
"OF","Mookie Betts",5200,"Bos@Sea 10:10PM ET",10.765,"Bos"
"OF","Mike Trout",5000,"Oak@LAA 10:05PM ET",10.238,"LAA"
"1B","David Ortiz",4900,"Bos@Sea 10:10PM ET",10.031,"Bos"
"2B/SS","Jean Segura",4800,"Was@Ari 09:40PM ET",8.851,"Ari"
"OF","Nelson Cruz",4700,"Bos@Sea 10:10PM ET",8.861,"Sea"
"RP","Nick Hagadone",4700,"Mil@SD 10:10PM ET",0,"Mil"
"1B","Paul Goldschmidt",4700,"Was@Ari 09:40PM ET",9.548,"Ari"
"3B","Jake Lamb",4700,"Was@Ari 09:40PM ET",8.616,"Ari"
"RP","Yhonathan Barrios",4700,"Mil@SD 10:10PM ET",0,"Mil"
"RP","Adrian Houser",4700,"Mil@SD 10:10PM ET",0,"Mil"
"2B","Dustin Pedroia",4600,"Bos@Sea 10:10PM ET",8.461,"Bos"
"2B","Daniel Murphy",4600,"Was@Ari 09:40PM ET",9.723,"Was"
"OF","Bryce Harper",4600,"Was@Ari 09:40PM ET",8.627,"Was"
"1B","Wil Myers",4500,"Mil@SD 10:10PM ET",9.462,"SD"
"SS","Jonathan Villar",4500,"Mil@SD 10:10PM ET",9.300,"Mil"
"RP","Anthony Varvaro",4400,"Bos@Sea 10:10PM ET",0,"Bos"
"3B","Anthony Rendon",4400,"Was@Ari 09:40PM ET",7.961,"Was"
"OF","Michael A. Taylor",4400,"Was@Ari 09:40PM ET",5.742,"Was"
"1B","C.J. Cron",4400,"Oak@LAA 10:05PM ET",7.130,"LAA"
"RP","Carson Smith",4400,"Bos@Sea 10:10PM ET",2.733,"Bos"
"RP","Buddy Baumann",4300,"Mil@SD 10:10PM ET",2.083,"SD"
"RP","Leonel Campos",4300,"Mil@SD 10:10PM ET",3.040,"SD"
"RP","Carter Capps",4300,"Mil@SD 10:10PM ET",0,"SD"
"2B","Robinson Cano",4200,"Bos@Sea 10:10PM ET",9.087,"Sea"
"C","Wilson Ramos",4200,"Was@Ari 09:40PM ET",8.144,"Was"
"1B","Albert Pujols",4100,"Oak@LAA 10:05PM ET",8.029,"LAA"
"RP","Chris Capuano",4100,"Mil@SD 10:10PM ET",4.163,"Mil"
"RP","Joe Beimel",4000,"Bos@Sea 10:10PM ET",0,"Sea"
"RP","Oliver Perez",4000,"Was@Ari 09:40PM ET",2.037,"Was"
"RP","Ryan Madson",4000,"Oak@LAA 10:05PM ET",2.449,"Oak"
"RP","Sean Burnett",4000,"Oak@LAA 10:05PM ET",0,"LAA"
"RP","Adam Loewen",4000,"Was@Ari 09:40PM ET",1.275,"Ari"
"RP","Blaine Boyer",4000,"Mil@SD 10:10PM ET",1.762,"Mil"
"1B","Hanley Ramirez",4000,"Bos@Sea 10:10PM ET",8.061,"Bos"
"RP","Carlos Villanueva",4000,"Mil@SD 10:10PM ET",2.772,"SD"
"RP","Tom Wilhelmsen",4000,"Bos@Sea 10:10PM ET",0.700,"Sea"
"RP","Matt Belisle",4000,"Was@Ari 09:40PM ET",3.121,"Was"
"RP","Jonathan Papelbon",4000,"Was@Ari 09:40PM ET",2.304,"Was"
"RP","Brad Ziegler",4000,"Bos@Sea 10:10PM ET",2.622,"Bos"
"RP","Matt Thornton",4000,"Mil@SD 10:10PM ET",1.129,"SD"
"RP","Aaron Laffey",4000,"Was@Ari 09:40PM ET",0,"Was"
"RP","Fernando Rodriguez",4000,"Oak@LAA 10:05PM ET",3.138,"Oak"
"RP","Carlos Torres",4000,"Mil@SD 10:10PM ET",3.423,"Mil"
"RP","Javy Guerra",4000,"Oak@LAA 10:05PM ET",0.921,"LAA"
"RP","Huston Street",4000,"Oak@LAA 10:05PM ET",1.248,"LAA"
