"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"3B","Cole Figueroa",2400,"StL@Mia 07:10PM ET",1.087,"Mia"
"OF","Darin Mastroianni",2400,"CWS@Min 07:10PM ET",1.571,"Min"
"3B","Will Middlebrooks",2400,"Pit@Mil 07:10PM ET",2.300,"Mil"
"1B/3B","Andy Wilkins",2400,"Pit@Mil 07:10PM ET",1.231,"Mil"
"OF","Bryce Brentz",2400,"Bos@LAA 09:05PM ET",5.000,"Bos"
"2B","Johnny Giavotella",2400,"Bos@LAA 09:05PM ET",6.079,"LAA"
"1B/3B","Jake Elmore",2400,"Pit@Mil 07:10PM ET",2.591,"Mil"
"OF","Jake Marisnick",2400,"Hou@Det 07:10PM ET",3.691,"Hou"
"OF","Rymer Liriano",2400,"Pit@Mil 07:10PM ET",0,"Mil"
"C","Tomas Telis",2400,"StL@Mia 07:10PM ET",0.000,"Mia"
"OF","Ramon Flores",2400,"Pit@Mil 07:10PM ET",3.385,"Mil"
"2B/SS","Wilfredo Tovar",2400,"CWS@Min 07:10PM ET",0,"Min"
"2B/SS","Yadiel Rivera",2400,"Pit@Mil 07:10PM ET",2.900,"Mil"
"OF","Socrates Brito",2400,"Ari@LAD 09:10PM ET",4.923,"Ari"
"C","Jett Bandy",2400,"Bos@LAA 09:05PM ET",6.194,"LAA"
"C","Kevin Plawecki",2400,"Col@NYM 07:10PM ET",3.878,"NYM"
"OF","Manuel Margot",2400,"Cin@SD 08:40PM ET",0,"SD"
"OF","Tony Kemp",2400,"Hou@Det 07:10PM ET",3.409,"Hou"
"SS","J.P. Crawford",2400,"Phi@Atl 07:10PM ET",0,"Phi"
"C","A.J. Pierzynski",2300,"Phi@Atl 07:10PM ET",3.773,"Atl"
"2B","Omar Infante",2300,"Phi@Atl 07:10PM ET",4.897,"Atl"
"C","Ryan Hanigan",2300,"Bos@LAA 09:05PM ET",4.143,"Bos"
"OF","Peter Bourjos",2300,"Phi@Atl 07:10PM ET",4.914,"Phi"
"2B/SS","Cristhian Adames",2300,"Col@NYM 07:10PM ET",2.127,"Col"
"OF","Preston Tucker",2300,"Hou@Det 07:10PM ET",3.950,"Hou"
"C","Tom Murphy",2300,"Col@NYM 07:10PM ET",0,"Col"
"C","Gerald Laird",2200,"Ari@LAD 09:10PM ET",0,"Ari"
"3B","Reid Brignac",2200,"Phi@Atl 07:10PM ET",2.308,"Atl"
"OF","Brandon Barnes",2200,"Col@NYM 07:10PM ET",2.854,"Col"
"2B/SS","Justin Sellers",2200,"Cin@SD 08:40PM ET",0,"SD"
"C","Anthony Recker",2200,"Phi@Atl 07:10PM ET",5.375,"Atl"
"C","Tuffy Gosewisch",2200,"Ari@LAD 09:10PM ET",3.333,"Ari"
"OF","Jimmy Paredes",2200,"Phi@Atl 07:10PM ET",2.630,"Phi"
"C","Jordan Pacheco",2200,"Phi@Atl 07:10PM ET",1.097,"Atl"
"OF","Jabari Blash",2200,"Cin@SD 08:40PM ET",1.000,"SD"
"SS","Alexei Ramirez",2200,"Cin@SD 08:40PM ET",5.157,"SD"
"OF","Daniel Nava",2200,"Bos@LAA 09:05PM ET",3.889,"LAA"
"1B","Josh Satin",2200,"Cin@SD 08:40PM ET",0,"SD"
"C","Christian Vazquez",2200,"Bos@LAA 09:05PM ET",4.490,"Bos"
"2B/OF","Rafael Ynoa",2200,"Col@NYM 07:10PM ET",0,"Col"
"2B","Jose Pirela",2200,"Cin@SD 08:40PM ET",1.867,"SD"
"2B/SS","Alexi Amarista",2200,"Cin@SD 08:40PM ET",3.174,"SD"
"C","Hector Sanchez",2200,"Cin@SD 08:40PM ET",2.813,"SD"
"2B/OF","Mike Freeman",2200,"Ari@LAD 09:10PM ET",0.500,"Ari"
"OF","Ryan LaMarre",2200,"Bos@LAA 09:05PM ET",0.667,"Bos"
"2B","Taylor Lindsey",2200,"Cin@SD 08:40PM ET",0,"SD"
"OF","Hunter Renfroe",2200,"Cin@SD 08:40PM ET",0,"SD"
"2B/SS","Daniel Castro",2200,"Phi@Atl 07:10PM ET",2.595,"Atl"
"C","Austin Hedges",2200,"Cin@SD 08:40PM ET",0,"SD"
"OF","David Dahl",2200,"Col@NYM 07:10PM ET",7.600,"Col"
"SS","Carlos Asuaje",2200,"Cin@SD 08:40PM ET",0,"SD"
"2B/SS","Gregorio Petit",2100,"Bos@LAA 09:05PM ET",4.564,"LAA"
"3B","Pablo Sandoval",2100,"Bos@LAA 09:05PM ET",0.667,"Bos"
"2B/SS","Cliff Pennington",2100,"Bos@LAA 09:05PM ET",3.852,"LAA"
"2B/OF","Michael Martinez",2100,"Bos@LAA 09:05PM ET",2.730,"Bos"
"2B/SS","Emmanuel Burriss",2100,"Phi@Atl 07:10PM ET",1.259,"Phi"
"OF","Cedric Hunter",2100,"Phi@Atl 07:10PM ET",2.154,"Phi"
"OF","Shane Robinson",2100,"Bos@LAA 09:05PM ET",2.976,"LAA"
"1B/OF","Allen Craig",2100,"Bos@LAA 09:05PM ET",0,"Bos"
"OF","David Lough",2100,"Phi@Atl 07:10PM ET",3.533,"Phi"
"2B","Jemile Weeks",2100,"Cin@SD 08:40PM ET",3.235,"SD"
"3B","Deven Marrero",2100,"Bos@LAA 09:05PM ET",0.750,"Bos"
"2B/OF","Darnell Sweeney",2100,"Phi@Atl 07:10PM ET",0,"Phi"
"OF","Rafael Ortega",2100,"Bos@LAA 09:05PM ET",5.222,"LAA"
"OF","Todd Cunningham",2100,"Bos@LAA 09:05PM ET",1.600,"LAA"
"3B","Kaleb Cowart",2100,"Bos@LAA 09:05PM ET",1.000,"LAA"
"C","Jorge Alfaro",2100,"Phi@Atl 07:10PM ET",0,"Phi"
"2B/3B","Taylor Featherston",2100,"Phi@Atl 07:10PM ET",1.000,"Phi"
"OF","Roman Quinn",2100,"Phi@Atl 07:10PM ET",0,"Phi"
"OF","Andrew Benintendi",2100,"Bos@LAA 09:05PM ET",0,"Bos"
"2B/3B","Brendan Ryan",2000,"Bos@LAA 09:05PM ET",0.294,"LAA"
"OF","Justin Ruggiano",2000,"KC@Tex 08:05PM ET",7.000,"Tex"
"OF","Craig Gentry",2000,"Bos@LAA 09:05PM ET",2.357,"LAA"
"C","John Hester",2000,"Bos@LAA 09:05PM ET",0,"LAA"
"2B/SS","Danny Worth",2000,"Hou@Det 07:10PM ET",2.313,"Hou"
"C","Max Stassi",2000,"Hou@Det 07:10PM ET",0.000,"Hou"
"1B","Jon Singleton",2000,"Hou@Det 07:10PM ET",0,"Hou"
"OF","Eury Perez",2000,"Hou@Det 07:10PM ET",0,"Hou"
"SS","Nick Ahmed",2000,"Ari@LAD 09:10PM ET",4.356,"Ari"
